iter,obj,vol,ud,rho_pen,mag
1,2.7499999899551315,0.49999999999999695,0.9999999899537793,0.9999999999999986,0.2499999999999767
2,2.3420489625174086,0.5003803959628771,0.9800720540571346,0.9998879672843958,0.24936718247642908
3,1.6066491813264552,0.5024620736468877,0.4189954136567391,0.9942280408794072,0.23412426113507148
4,1.135189250209723,0.5000680040286642,0.3749064541616783,0.998280397148125,0.23516614726076052
5,1.096670125270503,0.4999324392148509,0.35254554541274574,0.9978051553581888,0.23438571928419719
6,1.022066745813849,0.4948455562613783,0.2914280827689256,0.9977396005186366,0.2230706382689758
7,7.461355189965976,0.47509021882661917,0.0002051282173457599,0.9874564391526766,0.16874278224020803
8,1.1932554972907157,0.4920737124532633,0.22325293871277307,0.9991147939629877,0.21758777589335535
9,1.0132721824339417,0.4944610971570619,0.2825397596112919,0.9980041517986773,0.22256456804305771
10,1.0959897154092646,0.4886390802408083,0.21901865193929737,0.9952113649685608,0.20808189555125026
11,0.995013485914909,0.49315565126964256,0.2661138006924275,0.997466168006793,0.21942235903107832
12,1.3062109937257862,0.4757656979307136,0.05592052534409833,0.9971000136452413,0.18071098748469763
13,0.9234720415843996,0.48927094320040804,0.18487707116802746,0.997911116656027,0.21108391662695308
14,2.0388482089829565,0.47747786961331,0.007274319777611283,0.983838214417114,0.16037872975823966
15,0.7639274709670058,0.48711515867114813,0.028191618107267814,0.9960251907441591,0.19844604611594854
16,0.7445184750511994,0.47953979906417266,0.02172435459518713,0.9963101935760114,0.18830707253435874
17,0.9746837972381168,0.47869893072853603,0.0219399451044996,0.995119512836352,0.18462442942171603
18,0.7241544752065644,0.47937448211586475,0.02172258471922611,0.9962085640976102,0.18756870152860938
19,0.7294797281612145,0.47712705034547304,0.01844457112128795,0.9949375584376281,0.17936295365066876
20,0.7130710152443248,0.47845950336869225,0.02019808557498204,0.9957396201146443,0.18418925226708785
21,5.670099857733347,0.47212459698150533,0.009950826754027791,0.9771971376274562,0.15680850389197915
22,0.7702180056122258,0.4775607560108653,0.018230414822111175,0.9951446902254827,0.1803819297141194
