iter,obj,vol,ud,rho_pen,mag
1,2.749999990073775,0.49999999999998557,0.9999999899537801,0.9999999999999899,0.2499999999998971
2,2.7329114740218046,0.5001371633334913,0.9999522989897078,0.9999975683546662,0.25008788699640516
3,2.5199852555875433,0.5013991319019754,0.9448375181165258,0.9997355664891894,0.24942252939142712
4,0.6708431119926437,0.5106348216135947,5.597836568219065e-05,0.9772554141059386,0.17858125160860194
5,0.6663487915485304,0.5075532462646996,5.4390090181551204e-05,0.9776122176729272,0.1741165298011686
6,0.6125207643469983,0.47295614925011653,4.039452130557178e-05,0.9683479999545577,0.12531424492518625
7,0.4104233002998984,0.2544705459441907,1.4531049306564479e-05,0.6466677434494807,0.011825496777863083
8,5.919143757946166,0.37770818582807736,0.01020819780939351,0.13671652686369706,0.0012465165253500413
9,4.538308075462454,0.32616237684506705,0.051072461408536475,0.28695490520028805,0.010280466792462585
10,1.2786982765616954,0.2585260571463065,0.06251838954562478,0.4496397801933113,0.028390498118219996
11,0.3631645990019385,0.25660503456454226,0.035577378220207886,0.6094074154629656,0.015724558927165424
12,0.3448790488554223,0.24954510376680533,0.028359066365819408,0.5928508878350369,0.01616290379335655
13,0.32354132831043486,0.2195799744485794,0.0025216043314980684,0.4657432230324195,0.025886947214733468
14,0.34043125996390117,0.2054221802563337,0.009828710332418012,0.4566606759276579,0.026526655528998334
15,0.26647015308666305,0.21375119993012426,0.007551110826776279,0.4626803133444599,0.026052882388996165
16,0.2473458934377208,0.20251574397814,0.0005080832433626378,0.4373640336008968,0.02461384227071767
17,1.0403726972473069,0.2160073547067477,1.9659712080181926e-06,0.37989929110441145,0.016682680293564695
18,0.29098271328610636,0.2041471829995249,0.00010082918243664764,0.4265154167715326,0.019849155815040306
19,0.24343512430200537,0.20268313266189214,0.0003190158448555568,0.4349236205177726,0.023736334147075586
20,0.2605947500793141,0.1923351693164182,0.002777347928230978,0.4135963181948894,0.013820530168395649
21,0.24084179182383159,0.19945784122789806,0.0011477199812833043,0.4282289739119159,0.02078233625591899
22,0.2363321886059809,0.198902446103203,0.0002549216113027107,0.4243552464366528,0.019133563399280216
23,0.23869086297785988,0.19733145187654808,0.003093975582902233,0.42182777624454565,0.018221678666501297
24,0.23340625466925813,0.19828350566201572,0.001388842834108629,0.42335803376240727,0.01877267181523891
25,0.232353956304303,0.1980468645132413,0.0009541742345426174,0.4227269758140725,0.018481199712337748
26,0.22430475487690058,0.1945829318056914,0.0003950522337326964,0.41379475216887984,0.015073611820009398
27,0.2709548461774482,0.18012611485714267,0.0013884824213740226,0.3877897050032249,0.0023146710841132683
28,0.21193015372750992,0.18671191702298687,0.0007334362698059906,0.39458643311677377,0.009112529880326995
29,0.568060916388673,0.1951078519856672,3.8049194701999954e-06,0.37666743141747444,0.025521130632316
30,0.2143155660965262,0.18756959377071664,0.0001184649279162405,0.39095314514235285,0.0037312676603923085
